faculty,programme,programme_slug,career_title
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Corporate Legal Counsel With Shariah Expertise
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Public Prosecutor In Islamic Courts
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Legal Affairs Manager
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,NGO Legal Advisor
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Legal Writer/Journalist
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Law Enforcement Officer Specializing In Shariah
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Arbitrator
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH AND LAW,bachelor-of-shariah-and-law,Islamic Legal Trainer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Shariah Advisor
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Finance Consultant
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Mosque Imam
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Judge (Qadi)
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Religious Teacher
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Legal Researcher
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Lecturer In Syariah Studies
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Halal Certification Officer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Banking Officer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Counsellor
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Legal Consultant In Syariah Law
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Compliance Officer In Islamic Institutions
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Community Outreach Coordinator
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Mediator In Family And Inheritance Matters
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Affairs Officer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,NGO Worker Specializing In Islamic Law
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Content Writer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Public Speaker On Syariah Issues
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Islamic Event Organizer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF SHARIAH,bachelor-of-shariah,Policy Analyst In Islamic Law
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Religious Teacher
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic Studies Lecturer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Imam
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Mosque Administrator
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic Counsellor
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Researcher in Islamic Theology
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Shariah Advisor
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic NGO Officer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic Content Writer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Religious Affairs Officer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Interfaith Dialogue Coordinator
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic Education Curriculum Developer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Da’wah Officer
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Chaplain
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic Ethics Consultant
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Quranic Studies Specialist
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Islamic Youth Mentor
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF USULUDDIN,bachelor-of-usuluddin,Religious Broadcaster
